genus_species,iucn_status,order,activity_cycle,metabolism_rate_g,metabolism_rate_mlO2hr,diet_breadth,homerange_km2,pop_density_nkm2
Sciurus_deppei,LC,Rodentia,3.0,,,3.0,1.0,94.11
Sciurus_granatensis,LC,Rodentia,3.0,,,6.0,1.0,77.94
Sciurus_griseus,LC,Rodentia,3.0,,,4.0,1.0,239.99
Sciurus_lis,LC,Rodentia,3.0,,,,1.0,
Sciurus_niger,LC,Rodentia,,,,,1.0,6.32
Sciurus_vulgaris,LC,Rodentia,3.0,,,5.0,1.0,59.7
Semnopithecus_entellus,LC,Primates,3.0,,,2.0,1.0,17.28
Sigmodon_hispidus,LC,Rodentia,2.0,110.05,159.64,5.0,1.0,1750.0
Sigmodon_ochrognathus,LC,Rodentia,,115.1,154.23,,1.0,
Simias_concolor,CR,Primates,3.0,,,3.0,1.0,10.9
Sminthopsis_leucopus,LC,Dasyuromorphia,2.0,,,,1.0,617.99
Sorex_araneus,LC,Soricomorpha,2.0,8.05,60.23,5.0,1.0,1859.01
Sorex_arcticus,LC,Soricomorpha,2.0,,,1.0,1.0,502.74
Sorex_caecutiens,LC,Soricomorpha,,,,3.0,1.0,1643.9
Sorex_cinereus,LC,Soricomorpha,2.0,5.0,44.6,2.0,1.0,1111.97
Sorex_coronatus,LC,Soricomorpha,2.0,9.0,51.3,1.0,1.0,1345.01
Sorex_gracillimus,LC,Soricomorpha,,,,1.0,1.0,
Sorex_minutus,LC,Soricomorpha,2.0,4.2,32.84,5.0,1.0,849.99
Sorex_monticolus,LC,Soricomorpha,,,,2.0,1.0,1200.0
Sorex_palustris,LC,Soricomorpha,2.0,,,4.0,1.0,
Sorex_unguiculatus,LC,Soricomorpha,2.0,,,1.0,1.0,3093.28
Sorex_vagrans,LC,Soricomorpha,2.0,,,3.0,1.0,1759.54
Spalacopus_cyanus,LC,Rodentia,2.0,106.25,185.12,2.0,1.0,4500.0
Spilogale_putorius,VU,Carnivora,1.0,550.0,261.0,6.0,1.0,4.7
Stylodipus_telum,LC,Rodentia,1.0,,,3.0,1.0,
Suricata_suricatta,LC,Carnivora,3.0,790.0,290.12,1.0,2.0,
Sus_scrofa,LC,Artiodactyla,2.0,,,5.0,1.0,3.54
Sylvilagus_aquaticus,LC,Lagomorpha,,,,2.0,1.0,82.44
Sylvilagus_audubonii,LC,Lagomorpha,,672.4,437.73,2.0,1.0,290.0
Sylvilagus_bachmani,LC,Lagomorpha,1.0,,,3.0,1.0,568.0
Sylvilagus_floridanus,LC,Lagomorpha,2.0,,,2.0,1.0,680.83
Sylvilagus_palustris,LC,Lagomorpha,1.0,,,2.0,1.0,
Sylvilagus_transitionalis,VU,Lagomorpha,2.0,,,3.0,1.0,
Symphalangus_syndactylus,EN,Primates,3.0,,,4.0,1.0,4.99
Synaptomys_cooperi,LC,Rodentia,,,,4.0,1.0,1144.96
Syncerus_caffer,LC,Artiodactyla,2.0,,,1.0,4.0,5.84
Tachyglossus_aculeatus,LC,Monotremata,2.0,2860.0,414.04,1.0,1.0,
Tachyoryctes_splendens,LC,Rodentia,,196.5,154.22,,1.0,3385.42
Talpa_europaea,LC,Soricomorpha,2.0,,,1.0,1.0,925.63
Talpa_romana,LC,Soricomorpha,2.0,,,1.0,1.0,1157.05
Tamandua_mexicana,LC,Pilosa,2.0,4210.0,910.0,1.0,1.0,4.84
Tamandua_tetradactyla,LC,Pilosa,2.0,3500.0,897.75,1.0,1.0,5.31
Tamiasciurus_douglasii,LC,Rodentia,3.0,,,5.0,1.0,44.28
Tamiasciurus_hudsonicus,LC,Rodentia,3.0,209.15,233.67,5.0,1.0,174.35
Tapirus_bairdii,EN,Perissodactyla,2.0,,,4.0,1.0,0.34
Tapirus_indicus,EN,Perissodactyla,1.0,,,3.0,1.0,0.11
Tapirus_pinchaque,EN,Perissodactyla,2.0,,,4.0,1.0,0.27
Tarsipes_rostratus,LC,Diprotodontia,2.0,10.0,29.0,1.0,1.0,29699.99
Tarsius_bancanus,VU,Primates,1.0,,,3.0,1.0,62.24
Tarsius_dentatus,VU,Primates,,,,,1.0,129.0
Tarsius_syrichta,NT,Primates,1.0,113.0,76.7,1.0,1.0,
Tarsius_tarsier,VU,Primates,1.0,173.0,149.0,3.0,1.0,200.0
Tatera_indica,LC,Rodentia,,86.9,92.48,4.0,1.0,
Taterillus_pygargus,LC,Rodentia,,,,1.0,1.0,3000.0
Taxidea_taxus,LC,Carnivora,1.0,6525.0,1998.0,1.0,1.0,1.94
Tayassu_pecari,VU,Artiodactyla,2.0,,,6.0,3.0,1.59
Theropithecus_gelada,LC,Primates,3.0,,,2.0,1.0,51.42
Thomomys_bottae,LC,Rodentia,2.0,143.0,120.12,4.0,1.0,5250.0
Thomomys_mazama,LC,Rodentia,,,,3.0,1.0,3578.84
Thomomys_monticola,LC,Rodentia,,,,3.0,1.0,2814.0
Thylamys_elegans,LC,Didelphimorphia,2.0,,,3.0,1.0,703.01
Thylamys_velutinus,NT,Didelphimorphia,1.0,,,2.0,1.0,54.99
Thylogale_stigmatica,LC,Diprotodontia,1.0,,,3.0,1.0,313.68
Thylogale_thetis,LC,Diprotodontia,1.0,4400.0,1399.2,,1.0,359.99
Trachypithecus_auratus,VU,Primates,3.0,,,,1.0,41.99
Trachypithecus_cristatus,NT,Primates,3.0,,,,1.0,36.63
Trachypithecus_geei,EN,Primates,3.0,,,,1.0,2.6
Trachypithecus_johnii,VU,Primates,3.0,,,1.0,1.0,71.0
Trachypithecus_obscurus,NT,Primates,3.0,,,1.0,1.0,57.0
Trachypithecus_phayrei,EN,Primates,3.0,,,,1.0,0.6
Trachypithecus_pileatus,VU,Primates,3.0,,,,1.0,81.49
Trachypithecus_vetulus,EN,Primates,3.0,,,2.0,1.0,144.65
Tragelaphus_angasii,LC,Artiodactyla,2.0,,,4.0,1.0,126.94
Tragelaphus_scriptus,LC,Artiodactyla,2.0,,,4.0,1.0,1.52
Tragelaphus_strepsiceros,LC,Artiodactyla,3.0,,,2.0,7.0,1.06
Trichosurus_caninus,LC,Diprotodontia,1.0,,,1.0,1.0,100.0
Trichosurus_vulpecula,LC,Diprotodontia,1.0,1982.0,624.33,1.0,1.0,124.0
Trinomys_iheringi,LC,Rodentia,,,,,1.0,362.78
Tupaia_glis,LC,Scandentia,3.0,123.0,93.48,4.0,1.0,406.3
Tursiops_truncatus,LC,Cetacea,,,,2.0,4.0,0.2
Urocyon_cinereoargenteus,LC,Carnivora,2.0,,,6.0,1.0,2.41
Urocyon_littoralis,NT,Carnivora,2.0,,,6.0,1.0,7.0
Urotrichus_talpoides,LC,Soricomorpha,2.0,,,2.0,1.0,4999.99
Ursus_americanus,LC,Carnivora,3.0,110500.0,24365.4,1.0,3.0,0.72
Ursus_arctos,LC,Carnivora,2.0,162428.57,20790.6,6.0,6.0,0.02
Ursus_maritimus,VU,Carnivora,3.0,365000.0,44346.0,3.0,8.0,0.007048404
Ursus_thibetanus,VU,Carnivora,2.0,,,3.0,1.0,
Varecia_variegata,CR,Primates,2.0,,,4.0,1.0,27.83
Vicugna_vicugna,LC,Artiodactyla,,,,1.0,1.0,3.1
Viverra_zibetha,LC,Carnivora,1.0,,,6.0,1.0,
Vombatus_ursinus,LC,Diprotodontia,1.0,,,3.0,1.0,25.92
Vulpes_cana,LC,Carnivora,1.0,,,6.0,1.0,1.25
Vulpes_lagopus,LC,Carnivora,2.0,3200.0,1627.2,1.0,2.0,0.1
Vulpes_macrotis,LC,Carnivora,,,,,1.0,0.19
Vulpes_rueppellii,LC,Carnivora,1.0,,,1.0,3.0,
Vulpes_velox,LC,Carnivora,1.0,2088.0,1114.2,1.0,1.0,0.41
Vulpes_vulpes,LC,Carnivora,1.0,4100.0,2152.8,1.0,1.0,1.1
Wallabia_bicolor,LC,Diprotodontia,1.0,,,2.0,1.0,32.0
Xerus_erythropus,LC,Rodentia,,,,,1.0,
Xerus_rutilus,LC,Rodentia,3.0,,,4.0,1.0,798.09
Zapus_hudsonius,LC,Rodentia,,30.0,45.0,3.0,1.0,882.0
Zapus_princeps,LC,Rodentia,,,,3.0,1.0,292.3
Zyzomys_argurus,LC,Rodentia,,,,,1.0,535.51
